
Root grid = 1 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 1
Number of logical  levels of refinement = 0 (1 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=3.749367e-02 cycle=77 time=1.496022e-01 dt=3.978210e-04
elapsed=3.809079e-02 cycle=78 time=1.500000e-01 dt=7.956420e-04

Terminating on time limit
time=1.500000e-01 cycle=78
tlim=1.500000e-01 nlim=1000

MeshBlock-cycles = 78
cpu time used  = 3.745667e-02
zone-cycles/cpu_second = 1.066192e+06
particle-updates/cpu_second = 2.082406e+03
