# diagnostic-only	post-finalize	trilinear_cell_centered	cE=-u_cross_B
# rank_counts	0=64
# rank_participants	world_size=1	0
# cycle	time	rank	gid	species	tag	x	y	z	u1	u2	u3	b1	b2	b3	cE1	cE2	cE3	cE_dot_b
0	0	0	4	0	0	-0.49999999989999999	-0.13	0.11	0.12499999996646578	-0.2934928596225615	0.32577995201641402	0.2500000000169828	-0.88376776486670316	0.68064532587246895	-0.088149276952886851	0.0036356777015975482	0.037097755668076729	4.5421039417071922e-18
0	0	0	5	0	1	0.49999999989999999	-0.13	0.11	0.12500000003353423	-0.29349285962256155	0.32577995201641402	0.2499999999830172	-0.88376776486670328	0.68064532587246884	-0.088149276952886893	0.0036356777583126799	0.037097755737318328	-2.1530100250373071e-20
0	0	0	4	0	2	-1e-10	-0.13	0.11	0.12499999996646576	-0.29349285962256155	0.42422004798358592	0.25000000001698286	-0.45126075900250456	1.0597907801795996	0.11960716583938433	0.026418835483809706	-0.016965620050444354	6.5171576582089722e-18
0	0	0	5	0	3	1e-10	-0.13	0.11	0.1250000000335342	-0.2934928596225615	0.42422004798358592	0.24999999998301717	-0.45126075900250456	1.0597907801795996	0.11960716583938427	0.026418835569297167	-0.016965620010210288	8.406941678793027e-18
0	0	0	5	0	4	0.17000000000000001	-0.49999999989999999	0.11	0.05718308712652824	-0.25000000003794354	0.39890102046001658	-0.21352929096451617	-0.50000000005452783	1.2816283389617762	0.12095657453731407	0.15846451703452821	0.081973866315613292	9.0193006815594589e-18
0	0	0	7	0	5	0.17000000000000001	0.49999999989999999	0.11	0.05718308712652824	-0.24999999996205635	0.39890102046001658	-0.21352929096451617	-0.49999999994547217	1.2816283389617764	0.12095657448355737	0.15846451703452821	0.081973866293173006	-1.2658187229222457e-18
0	0	0	5	0	6	0.17000000000000001	-1e-10	0.11	0.19281691287347177	-0.25000000003794354	0.39890102046001658	0.30886910754363334	-0.50000000005452783	0.90248288465464532	0.026170210946145224	0.050805761552524274	0.019191179549621858	3.1880248411955502e-18
0	0	0	7	0	7	0.17000000000000001	1e-10	0.11	0.1928169128734718	-0.24999999996205638	0.39890102046001658	0.30886910754363334	-0.49999999994547217	0.90248288465464543	0.026170210921160814	0.05080576155252433	0.01919117955203329	1.5855954977690237e-18
0	0	0	1	0	8	0.17000000000000001	-0.13	-0.49999999989999999	0.17142762238343115	-0.19385264193454271	0.37499999997621392	0.69001680206133087	-0.1787348278421001	1.0000000000375451	0.12682708150528479	-0.087328678366718857	-0.10312149348473031	-9.9010457783586347e-18
0	0	0	5	0	9	0.17000000000000001	-0.13	0.49999999989999999	0.17142762238343115	-0.19385264193454274	0.37500000002378614	0.69001680206133098	-0.17873482784210007	0.99999999996245503	0.12682708148222563	-0.087328678412417038	-0.10312149348473033	1.2330047947167108e-17
0	0	0	1	0	10	0.17000000000000001	-0.13	-1e-10	0.17142762238343115	-0.30614735806545729	0.37499999997621386	0.16761840355318142	-0.61124183370629881	1.0000000000375451	0.076931670451628659	0.10857072106141138	0.053467802842603267	1.0013556672996772e-17
0	0	0	5	0	11	0.17000000000000001	-0.13	1e-10	0.17142762238343115	-0.30614735806545723	0.3750000000237862	0.16761840355318142	-0.61124183370629892	0.99999999996245503	0.076931670399561738	0.10857072104056488	0.053467802842603288	-1.1016331998487908e-17
0	0	0	0	0	12	-0.49999999989999999	-0.49999999989999999	-0.49999999989999999	0.12500000004898348	-0.24999999995101652	0.37500000004898354	0.25	-0.5	1	0.062499999926524746	0.031250000036737599	3.6737612951753817e-11	0
0	0	0	7	0	13	0.49999999989999999	0.49999999989999999	0.49999999989999999	0.12499999995101652	-0.25000000004898348	0.37499999995101657	0.25	-0.5	1	0.062500000073475198	0.031249999963262373	-3.6737612951753817e-11	0
0	0	0	4	0	14	-0.49999999989999999	-0.13	0.11	0.12499999996646578	-0.2934928596225615	0.32577995201641402	0.2500000000169828	-0.88376776486670316	0.68064532587246895	-0.088149276952886851	0.0036356777015975482	0.037097755668076729	4.5421039417071922e-18
0	0	0	5	0	15	0.49999999989999999	-0.13	0.11	0.12500000003353423	-0.29349285962256155	0.32577995201641402	0.2499999999830172	-0.88376776486670328	0.68064532587246884	-0.088149276952886893	0.0036356777583126799	0.037097755737318328	-2.1530100250373071e-20
0	0	0	4	0	16	-1e-10	-0.13	0.11	0.12499999996646576	-0.29349285962256155	0.42422004798358592	0.25000000001698286	-0.45126075900250456	1.0597907801795996	0.11960716583938433	0.026418835483809706	-0.016965620050444354	6.5171576582089722e-18
0	0	0	5	0	17	1e-10	-0.13	0.11	0.1250000000335342	-0.2934928596225615	0.42422004798358592	0.24999999998301717	-0.45126075900250456	1.0597907801795996	0.11960716583938427	0.026418835569297167	-0.016965620010210288	8.406941678793027e-18
0	0	0	5	0	18	0.17000000000000001	-0.49999999989999999	0.11	0.05718308712652824	-0.25000000003794354	0.39890102046001658	-0.21352929096451617	-0.50000000005452783	1.2816283389617762	0.12095657453731407	0.15846451703452821	0.081973866315613292	9.0193006815594589e-18
0	0	0	7	0	19	0.17000000000000001	0.49999999989999999	0.11	0.05718308712652824	-0.24999999996205635	0.39890102046001658	-0.21352929096451617	-0.49999999994547217	1.2816283389617764	0.12095657448355737	0.15846451703452821	0.081973866293173006	-1.2658187229222457e-18
