# diagnostic-only	post-finalize	trilinear_cell_centered	cE=-u_cross_B
# rank_counts	0=64
# rank_participants	world_size=1	0
# cycle	time	rank	gid	species	tag	x	y	z	u1	u2	u3	b1	b2	b3	cE1	cE2	cE3	cE_dot_b
3	0.025970518172472944	0	35	0	0	0.24945771938207198	0.031728143771263255	0.24554513020228524	0.078002780164958305	-0.0027975572663221831	-0.061927966313374105	0.54606788004764151	-0.50140531385135034	0.7046735603176888	0.033022376024585069	0.088783370093925118	0.037583352304156374	1.5966324081809971e-18
3	0.025970518172472944	0	16	0	1	-0.21045994819881716	0.21468788793218421	-0.36226204909275656	0.0010483034350971786	0.07231573269412464	0.054309572395864536	0.0024962849674615745	-0.76322707764841569	1.0020085395933871	-0.11391151793449635	0.00091483682489139231	0.00098061424369332798	-1.2626923594672382e-19
3	0.025970518172472944	0	34	0	2	-0.35829593957741429	0.42431568952197429	0.083123404555741284	-0.048617129697909073	-0.044406833687600761	0.019322070940596552	0.64753534381527311	-0.30231213258590084	1.0373407208481114	0.040223720396050162	-0.062944252216137406	-0.043452542478828432	2.7393832686193841e-18
3	0.025970518172472944	0	34	0	3	-0.047618292144056093	0.0089931034286815838	0.40672892845737113	-0.015533292118471929	-0.0028880363568488466	-0.0023315377743854263	0.092734535125618758	-0.52713839739754009	0.9956802968451629	0.0041046039829482437	-0.015249978835867307	-0.0084560154226173967	7.7482886430632201e-19
3	0.025970518172472944	0	25	0	4	-0.041106139203650235	-0.033227635303448029	0.25275684136880211	-0.019453161610831399	0.017854371627957905	0.0098445378046194704	0.17415515232493084	-0.43200924254192524	1.0024705469706547	-0.022151413011845304	-0.02121569854125074	-0.0052945148020079992	-2.1367265519798906e-19
3	0.025970518172472944	0	17	0	5	0.20087652454230345	0.42638081138150452	-0.4964993306268794	0.028655277736877226	0.012099325387021425	0.0014742904571848712	0.27298496378138509	-0.66521145943861948	0.99444846907730644	-0.013012870514652022	0.028093737949364726	0.022364753026522317	-2.1098876298514891e-19
3	0.025970518172472944	0	17	0	6	0.044972544846105036	0.10361563531784516	-0.41092814038946729	-0.00035411025800425076	0.036489739190701337	0.03171149947930036	0.38088429350004838	-0.81947473507680579	0.96939689993301204	-0.061359812685517941	-0.01242168546134427	0.013608184121785293	6.7803998166242549e-19
3	0.025970518172472944	0	38	0	7	0.3915978327713337	0.39298637577999473	0.046060751592533623	0.021189114583617181	-0.017159116707801358	-0.00090121897901511688	-0.091136795496211565	-0.16608846131721372	1.0033383515668279	0.017366081945482722	0.021177717087699291	0.0050830943481616304	-1.2592825403907137e-19
3	0.025970518172472944	0	14	0	8	0.13996949540054418	-0.17912550249268652	-0.20724026871405637	-0.10243725052785088	-0.1034555136877324	-0.012309062399691494	0.29510950606976616	-0.40249172979950587	0.95236711162171428	0.10348192456958831	-0.093925347082724389	-0.071760851705440692	4.1639245122749725e-18
3	0.025970518172472944	0	4	0	9	-0.32360032994260984	-0.3273724688400319	-0.23316878132580138	0.14000279919613898	-0.056608837797932667	-0.095495091184665731	0.41487592996258182	-0.65716662935009651	1.0025321925154975	0.11950836946662249	0.17997592799851189	0.068519523421786785	-7.1777508043230121e-18
