simulation	phase	sequence	input_relative	expected_shards	expected_nodes	output_number	output_time	control_pdf_sequence
res_4pc_highmdot	phase1a	00000	res_4pc_highmdot/phase1a/bin	250	32	00000	0.0	00000
res_4pc_highmdot	phase1b	00001	res_4pc_highmdot/phase1b/bin	1024	128	00005	5.000011426569636	00005
res_4pc_highmdot	phase1b	00002	res_4pc_highmdot/phase1b/bin	1024	128	00010	10.000014052623158	00010
res_4pc_highmdot	phase2a	00003	res_4pc_highmdot/phase2a/bin	2048	256	00012	10.020007119548875	00012
res_4pc_highmdot	phase2a	00004	res_4pc_highmdot/phase2a/bin	2048	256	00014	10.040004847897848	00014
res_4pc_highmdot	phase2a	00005	res_4pc_highmdot/phase2a/bin	2048	256	00016	10.0600007937816	00016
res_4pc_highmdot	phase2a	00006	res_4pc_highmdot/phase2a/bin	2048	256	00018	10.080000680937507	00018
res_4pc_highmdot	phase2a	00007	res_4pc_highmdot/phase2a/bin	2048	256	00020	10.100002339166592	00020
res_4pc_highmdot	phase2a	00008	res_4pc_highmdot/phase2a/bin	2048	256	00022	10.119999689350545	00022
res_4pc_highmdot	phase2a	00009	res_4pc_highmdot/bin	2048	256	00024	10.140001118519669	00024
res_4pc_highmdot	phase2a	00010	res_4pc_highmdot/bin	2048	256	00026	10.160000707371452	00026
res_4pc_highmdot	phase2a	00011	res_4pc_highmdot/bin	2048	256	00028	10.180000261329589	00028
res_4pc_highmdot	phase2a	00012	res_4pc_highmdot/phase2a/bin	2048	256	00030	10.200000331662407	00030
res_4pc_highmdot	phase2a	00013	res_4pc_highmdot/phase2a/bin	2048	256	00032	10.220000533396126	00032
res_4pc_highmdot	phase2a	00014	res_4pc_highmdot/phase2a/bin	2048	256	00034	10.239999541679765	00034
res_4pc_highmdot	phase2a	00015	res_4pc_highmdot/phase2a/bin	2048	256	00036	10.260000310309472	00036
res_4pc_highmdot	phase2a	00016	res_4pc_highmdot/phase2a/bin	2048	256	00038	10.279999749245814	00038
res_4pc_highmdot	phase2a	00017	res_4pc_highmdot/phase2a/bin	2048	256	00040	10.300000134025906	00040
res_4pc_highmdot	phase2a	00018	res_4pc_highmdot/phase2a/bin	2048	256	00042	10.320000374366783	00042
res_4pc_highmdot	phase2a	00019	res_4pc_highmdot/phase2a/bin	2048	256	00044	10.340000590934755	00044
res_4pc_highmdot	phase2a	00020	res_4pc_highmdot/phase2a/bin	2048	256	00046	10.360001170437846	00046
res_4pc_highmdot	phase2a	00021	res_4pc_highmdot/phase2a/bin	2048	256	00048	10.379999823071401	00048
res_4pc_highmdot	phase2a	00022	res_4pc_highmdot/phase2a/bin	2048	256	00050	10.399999216151466	00050
res_4pc_highmdot	phase2a	00023	res_4pc_highmdot/phase2a/bin	2048	256	00052	10.419999905897049	00052
res_4pc_highmdot	phase2a	00024	res_4pc_highmdot/phase2a/bin	2048	256	00054	10.439999712639079	00054
res_4pc_highmdot	phase2a	00025	res_4pc_highmdot/phase2a/bin	2048	256	00056	10.460001305734636	00056
res_4pc_highmdot	phase2a	00026	res_4pc_highmdot/phase2a/bin	2048	256	00058	10.480000086852874	00058
res_4pc_highmdot	phase2a	00027	res_4pc_highmdot/phase2a/bin	2048	256	00060	10.499999899959779	00060
