simulation	phase	sequence	input_relative	expected_shards	expected_nodes	output_number	output_time	control_pdf_sequence
res_8pc	phase1	00000	res_8pc/phase1/bin	250	32	00000	0.0	00000
res_8pc	phase1	00001	res_8pc/phase1/bin	250	32	00005	5.000022861302838	00005
res_8pc	phase1	00002	res_8pc/phase1/bin	250	32	00010	10.0	00010
res_8pc	phase2	00003	res_8pc/phase2/bin	1024	128	00012	10.020053398450864	00012
res_8pc	phase2	00004	res_8pc/phase2/bin	1024	128	00014	10.040028765759711	00014
res_8pc	phase2	00005	res_8pc/phase2/bin	1024	128	00016	10.060003627610314	00016
res_8pc	phase2	00006	res_8pc/phase2/bin	1024	128	00018	10.080003198441238	00018
res_8pc	phase2	00007	res_8pc/phase2/bin	1024	128	00020	10.100000027257826	00020
res_8pc	phase2	00008	res_8pc/phase2/bin	1024	128	00022	10.120003456387867	00022
res_8pc	phase2	00009	res_8pc/phase2/bin	1024	128	00024	10.140005021145356	00024
res_8pc	phase2	00010	res_8pc/phase2/bin	1024	128	00026	10.160003624644926	00026
res_8pc	phase2	00011	res_8pc/phase2/bin	1024	128	00028	10.180001464221121	00028
res_8pc	phase2	00012	res_8pc/phase2/bin	1024	128	00030	10.199999515238929	00030
res_8pc	phase2	00013	res_8pc/phase2/bin	1024	128	00032	10.220000746713987	00032
res_8pc	phase2	00014	res_8pc/phase2/bin	1024	128	00034	10.240001726150364	00034
res_8pc	phase2	00015	res_8pc/phase2/bin	1024	128	00036	10.260000243642592	00036
res_8pc	phase2	00016	res_8pc/phase2/bin	1024	128	00038	10.280004012626712	00038
res_8pc	phase2	00017	res_8pc/phase2/bin	1024	128	00040	10.300000364009264	00040
res_8pc	phase2	00018	res_8pc/phase2/bin	1024	128	00042	10.320004346019113	00042
res_8pc	phase2	00019	res_8pc/phase2/bin	1024	128	00044	10.340003810803537	00044
res_8pc	phase2	00020	res_8pc/phase2/bin	1024	128	00046	10.360003931434868	00046
res_8pc	phase2	00021	res_8pc/phase2/bin	1024	128	00048	10.380003929388915	00048
res_8pc	phase2	00022	res_8pc/phase2/bin	1024	128	00050	10.400005410725402	00050
res_8pc	phase2	00023	res_8pc/phase2/bin	1024	128	00052	10.420000630070206	00052
res_8pc	phase2	00024	res_8pc/phase2/bin	1024	128	00054	10.44000310729253	00054
res_8pc	phase2	00025	res_8pc/phase2/bin	1024	128	00056	10.46000300870576	00056
res_8pc	phase2	00026	res_8pc/phase2/bin	1024	128	00058	10.480000756564541	00058
res_8pc	phase2	00027	res_8pc/phase2/bin	1024	128	00060	10.500000533653457	00060
res_8pc	phase2	00028	res_8pc/phase2/bin	1024	128	00062	10.520002963096713	00062
res_8pc	phase2_uniform	00003	res_8pc/phase2_uniform/bin	512	64	00003	10.0201	none
res_8pc	phase2_uniform	00004	res_8pc/phase2_uniform/bin	512	64	00004	10.04	none
res_8pc	phase2_uniform	00005	res_8pc/phase2_uniform/bin	512	64	00005	10.06	none
res_8pc	phase2_uniform	00006	res_8pc/phase2_uniform/bin	512	64	00006	10.08	none
res_8pc	phase2_uniform	00007	res_8pc/phase2_uniform/bin	512	64	00007	10.1	none
res_8pc	phase2_uniform	00008	res_8pc/phase2_uniform/bin	512	64	00008	10.12	none
res_8pc	phase2_uniform	00009	res_8pc/phase2_uniform/bin	512	64	00009	10.14	none
res_8pc	phase2_uniform	00010	res_8pc/phase2_uniform/bin	512	64	00010	10.16	none
res_8pc	phase2_uniform	00011	res_8pc/phase2_uniform/bin	512	64	00011	10.18	none
res_8pc	phase2_uniform	00012	res_8pc/phase2_uniform/bin	512	64	00012	10.2	none
res_8pc	phase2_uniform	00013	res_8pc/phase2_uniform/bin	512	64	00013	10.22	none
res_8pc	phase2_uniform	00014	res_8pc/phase2_uniform/bin	512	64	00014	10.24	none
res_8pc	phase2_uniform	00015	res_8pc/phase2_uniform/bin	512	64	00015	10.26	none
res_8pc	phase2_uniform	00016	res_8pc/phase2_uniform/bin	512	64	00016	10.28	none
res_8pc	phase2_uniform	00017	res_8pc/phase2_uniform/bin	512	64	00017	10.3	none
res_8pc	phase2_uniform	00018	res_8pc/phase2_uniform/bin	512	64	00018	10.32	none
res_8pc	phase2_uniform	00019	res_8pc/phase2_uniform/bin	512	64	00019	10.34	none
res_8pc	phase2_uniform	00020	res_8pc/phase2_uniform/bin	512	64	00020	10.36	none
res_8pc	phase2_uniform	00021	res_8pc/phase2_uniform/bin	512	64	00021	10.38	none
res_8pc	phase2_uniform	00022	res_8pc/phase2_uniform/bin	512	64	00022	10.4	none
