time_Myr,mass_code,mass_g,mass_Msun
0.0000000000000000e+00,2.6342428390681744e+02,1.2945094600444477e+34,6.5100778993117707e+00
5.0745278815327694e-05,2.6342428249865770e+02,1.2945094531245234e+34,6.5100778645115263e+00
1.0020193261467063e-04,2.6342427666485310e+02,1.2945094244562657e+34,6.5100777203390834e+00
1.5116229339057915e-04,2.6342426982522011e+02,1.2945093908452050e+34,6.5100775513093234e+00
1.5377636806017107e-04,2.6342426620423794e+02,1.2945093730511141e+34,6.5100774618229806e+00
