time_s,sedov_xi,sample_radius_cm,frame_x1_cm,frame_x2_cm,frame_x3_cm,frame_v1_cm_s,frame_v2_cm_s,frame_v3_cm_s,shock_radius_cm,shock_speed_cm_s,rho_g_cm3,pressure_dyn_cm2,vx_cm_s,vy_cm_s,vz_cm_s,mass_flux_g_cm2_s,momentum_flux_dyn_cm2,sample_is_shocked,inner_x1_shocked_fraction
6175655577299.412,0.5344127786347879,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.730383398404108e+20,8661269.452006556,6.929957676362108e-26,1.4627525324306145e-11,2790779.1589626633,0.0,0.0,1.9339981455684697e-19,1.5167261496118636e-11,1.0,1.0
6793221135029.354,0.5187349788578768,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.782681017734119e+20,8282941.598335249,6.044017730459146e-26,1.3335334270391158e-11,2588365.3355645766,0.0,0.0,1.5644125981058138e-19,1.3740261404336919e-11,1.0,1.0
7410786692759.295,0.5045572952386425,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.8327730245328614e+20,7945697.612083507,5.323926420629206e-26,1.2241655886461568e-11,2413519.910223204,0.0,0.0,1.2849402416751946e-19,1.2551778772134578e-11,1.0,1.0
8028352250489.236,0.49164935843705826,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.8808912981893644e+20,7642747.532525067,4.7298784817414835e-26,1.1304319030616954e-11,2260933.2491004374,0.0,0.0,1.0693939523574016e-19,1.1546101864944133e-11,1.0,1.0
8645917808219.178,0.4798279114042391,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.9272305300839088e+20,7368762.497464573,4.233502136494541e-26,1.0492343124885649e-11,2126585.32994817,0.0,0.0,9.002903537773527e-20,1.0683797550789326e-11,1.0,1.0
9263483365949.12,0.4689450463313984,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,1.9719560048218178e+20,7119495.620618205,3.814090220277856e-26,9.782437003252712e-12,2007374.4328729124,0.0,0.0,7.656307192856383e-20,9.936127756344321e-12,1.0,1.0
9881048923679.06,0.4588798530443184,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.015209414642433e+20,6891516.244494355,3.4562175830536084e-26,9.156742112587143e-12,1900867.776866003,0.0,0.0,6.569812633464302e-20,9.281625563937138e-12,1.0,1.0
10498614481409.002,0.44953236588374323,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.057113280879535e+20,6682019.632245271,3.1481870490220714e-26,8.601330439888803e-12,1805129.5982306604,0.0,0.0,5.68288562295618e-20,8.70391389030238e-12,1.0,1.0
11116180039138.943,0.4408190956242328,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.097774368724084e+20,6488688.074960906,2.880988014867474e-26,8.105176880914497e-12,1718599.8790388778,0.0,0.0,4.9512656538636975e-20,8.190269326452692e-12,1.0,1.0
11733745596868.885,0.4326696772210338,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.1372863612354193e+20,6309587.795396616,2.6475818762401785e-26,7.659439205467719e-12,1640007.065808927,0.0,0.0,4.342052984341549e-20,7.730649181212087e-12,1.0,1.0
12351311154598.824,0.4250243176900191,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,2.1757319794560133e+20,6143091.252699466,2.4424013659148156e-26,7.2569428818247e-12,1568304.1211669964,0.0,0.0,3.8304281277081067e-20,7.317015644009886e-12,1.0,1.0
